world,tag,band,greedy,nohedge,bound,pas,churn,breaches
GARCH,202105,0.4,-49.31,-198.15,768.28,True,106.2,0
GARCH,202106,0.4,-21.15,-196.08,808.98,True,168.8,0
GARCH,202107,0.4,-5.27,-35.61,691.04,True,481.2,0
GARCH,202108,0.4,56.12,-5.65,730.94,True,162.5,0
GARCH,202109,0.4,7.22,-54.74,631.75,True,156.2,0
GARCH,202110,0.4,-3.76,34.96,605.85,True,306.2,0
GARCH,202111,0.4,-30.59,37.89,607.29,True,200.0,0
GARCH,202112,0.4,110.27,108.13,649.35,True,350.0,0
GARCH,202201,0.4,16.2,14.59,657.46,True,312.5,0
GARCH,202202,0.4,-45.77,-53.3,671.06,True,125.0,0
GARCH,202203,0.4,17.02,-99.72,764.6,True,456.2,0
GARCH,202204,0.4,-41.9,-115.68,647.84,True,431.2,0
GARCH,202205,0.4,57.57,-0.87,687.6,True,181.2,0
GARCH,202206,0.4,11.08,-74.35,661.69,True,518.8,0
GARCH,202207,0.4,-48.4,10.84,619.8,True,412.5,0
GARCH,202208,0.4,38.48,99.31,636.88,True,212.5,0
GARCH,202209,0.4,-23.53,167.5,608.84,True,287.5,0
GARCH,202210,0.4,92.63,207.83,675.46,True,275.0,0
GARCH,202211,0.4,85.59,43.84,654.87,True,331.2,0
GARCH,202212,0.4,-0.12,-59.89,678.57,True,337.5,0
GARCH,202301,0.4,15.26,24.47,607.03,True,293.8,0
GARCH,202302,0.4,1.05,61.45,625.74,True,393.8,0
GARCH,202303,0.4,89.43,12.24,594.21,True,112.5,0
GARCH,202304,0.4,34.77,-41.09,580.73,True,275.0,0
GARCH,202305,0.4,27.58,-141.85,590.67,True,437.5,0
GARCH,202306,0.4,12.01,-80.88,559.36,True,275.0,0
GARCH,202307,0.4,-3.63,-10.19,456.39,True,275.0,0
GARCH,202308,0.4,47.2,-28.36,535.92,True,293.8,0
GARCH,202309,0.4,-29.27,-32.55,548.63,True,275.0,0
GARCH,202310,0.4,30.33,21.05,516.71,True,275.0,0
GARCH,202311,0.4,-1.57,-30.98,568.83,True,175.0,0
GARCH,202312,0.4,9.93,-24.23,526.54,True,300.0,0
GARCH,202001,0.5,-78.76,-194.35,810.1,True,75.0,0
GARCH,202002,0.5,-81.23,-172.13,892.94,True,87.5,0
GARCH,202003,0.5,-19.04,-49.94,845.94,True,100.0,0
GARCH,202004,0.5,9.08,135.4,628.43,True,175.0,0
GARCH,202005,0.5,102.13,169.58,746.71,True,75.0,0
GARCH,202006,0.5,121.73,87.3,751.38,True,50.0,0
GARCH,202007,0.5,62.43,62.96,699.5,True,312.5,0
GARCH,202008,0.5,-14.65,1.36,637.15,True,250.0,0
GARCH,202009,0.5,24.72,89.72,605.54,True,287.5,0
GARCH,202010,0.5,11.17,210.46,625.76,True,150.0,0
GARCH,202011,0.5,99.96,352.15,685.55,True,150.0,0
GARCH,202012,0.5,28.35,213.82,708.43,True,262.5,0
GARCH,202101,0.5,12.55,142.05,758.24,True,450.0,0
GARCH,202102,0.5,157.99,123.87,765.09,True,200.0,0
GARCH,202103,0.5,30.29,-73.18,751.02,True,150.0,0
GARCH,202104,0.5,84.11,-84.43,765.31,True,387.5,0
GARCH,202105,0.5,-70.98,-198.15,768.28,True,118.8,0
GARCH,202106,0.5,-51.79,-196.08,808.98,True,212.5,0
GARCH,202107,0.5,-7.22,-35.61,691.04,True,450.0,0
GARCH,202108,0.5,67.28,-5.65,730.94,True,112.5,0
GARCH,202109,0.5,-9.32,-54.74,631.75,True,212.5,0
GARCH,202110,0.5,-5.53,34.96,605.85,True,325.0,0
GARCH,202111,0.5,-35.39,37.89,607.29,True,187.5,0
GARCH,202112,0.5,137.68,108.13,649.35,True,325.0,0
GARCH,202201,0.5,23.8,14.59,657.46,True,337.5,0
GARCH,202202,0.5,-65.69,-53.3,671.06,True,112.5,0
GARCH,202203,0.5,15.07,-99.72,764.6,True,412.5,0
GARCH,202204,0.5,-50.35,-115.68,647.84,True,387.5,0
GARCH,202205,0.5,80.86,-0.87,687.6,True,137.5,0
GARCH,202206,0.5,11.85,-74.35,661.69,True,437.5,0
GARCH,202207,0.5,-42.58,10.84,619.8,True,393.8,0
GARCH,202208,0.5,48.92,99.31,636.88,True,225.0,0
GARCH,202209,0.5,-10.96,167.5,608.84,True,275.0,0
GARCH,202210,0.5,98.84,207.83,675.46,True,250.0,0
GARCH,202211,0.5,80.95,43.84,654.87,True,325.0,0
GARCH,202212,0.5,-1.11,-59.89,678.57,True,300.0,0
GARCH,202301,0.5,7.21,24.47,607.03,True,275.0,0
GARCH,202302,0.5,1.05,61.45,625.74,True,350.0,0
GARCH,202303,0.5,110.97,12.24,594.21,True,100.0,0
GARCH,202304,0.5,55.24,-41.09,580.73,True,250.0,0
GARCH,202305,0.5,27.62,-141.85,590.67,True,437.5,0
GARCH,202306,0.5,7.21,-80.88,559.36,True,250.0,0
GARCH,202307,0.5,-2.72,-10.19,456.39,True,262.5,0
GARCH,202308,0.5,52.32,-28.36,535.92,True,275.0,0
GARCH,202309,0.5,-30.75,-32.55,548.63,True,250.0,0
GARCH,202310,0.5,35.13,21.05,516.71,True,250.0,0
GARCH,202311,0.5,-8.22,-30.98,568.83,True,150.0,0
GARCH,202312,0.5,31.49,-24.23,526.54,True,312.5,0
GARCH,202001,0.6,-76.95,-194.35,810.1,True,75.0,0
GARCH,202002,0.6,-81.23,-172.13,892.94,True,87.5,0
