tag,trade_date,calib_date,stale_days,h_trade,sigma_trade,h_ratio,lr_vol,H0_logged,h_ratio_logged,rv20,rv60,rv120,basis_sigma,nu
202105,2021-05-03,2021-04-01,32,0.0003394162649240609,0.2924600806278754,1.5683817623563683,0.2336,0.00037883,1.7505055721663625,0.29964205943444994,0.3368145915780638,0.33341203825019006,9.281,7.49
202106,2021-06-01,2021-04-01,61,0.00026920872456353645,0.2604622786316882,1.2439652942593513,0.2336,0.00037883,1.7505055721663625,0.24472036709468617,0.2748323509855037,0.31986587527025756,9.281,7.49
202107,2021-07-01,2021-07-01,0,0.00038484,0.3114156065453368,1.7630104712041976,0.2343,0.00038484,1.7630104712041976,0.3598936272484961,0.30235693853661205,0.3344466150653709,9.376,7.25
202108,2021-08-02,2021-07-01,32,0.0003304778900678485,0.2885834858357245,1.5139693916720887,0.2343,0.00038484,1.7630104712041976,0.2695535151392271,0.29082974414401735,0.31681995960452014,9.376,7.25
202109,2021-09-01,2021-07-01,62,0.00032751032727301396,0.287284880341447,1.50037453593659,0.2343,0.00038484,1.7630104712041976,0.3106064598089254,0.3124155953777474,0.29308595711263785,9.376,7.25
202110,2021-10-01,2021-10-01,0,0.0004519,0.3374593308829969,1.990350350350332,0.2395,0.0004519,1.990350350350332,0.3854814826886534,0.3201083197075524,0.30768795023609774,9.494,7.42
202111,2021-11-01,2021-10-01,31,0.0003349893159755243,0.29054656705222337,1.4754284187110043,0.2395,0.0004519,1.990350350350332,0.26443844124646454,0.3210100495086385,0.30603015387589955,9.494,7.42
202112,2021-12-01,2021-10-01,61,0.00038711910607456786,0.31233638073524367,1.705029095823907,0.2395,0.0004519,1.990350350350332,0.3179368476287413,0.32449827213487337,0.31601235806730155,9.494,7.42
202201,2022-01-03,2022-01-03,0,0.00032862,0.2877711590830464,1.4600263797292519,0.2377,0.00032862,1.4600263797292519,0.272921534300465,0.28615285548973224,0.3030191398696079,9.552,7.34
202202,2022-02-01,2022-01-03,29,0.0004366995800933635,0.33173527726717217,1.9402133374505446,0.2377,0.00032862,1.4600263797292519,0.3838862232193755,0.3272818758449004,0.32305998149122456,9.552,7.34
202203,2022-03-01,2022-01-03,57,0.0003583428419785694,0.3005035709914268,1.5920820469717667,0.2377,0.00032862,1.4600263797292519,0.2724140325265234,0.31982536851860127,0.3171373516885793,9.552,7.34
202204,2022-04-01,2022-04-01,0,0.00039987,0.31743856098464157,1.7005219206680429,0.2439,0.00039987,1.7005219206680429,0.3653947842932837,0.34241023610204735,0.31424740319617256,9.618,7.43
202205,2022-05-02,2022-04-01,31,0.0003654266380814545,0.3034592440452697,1.5540450857867327,0.2439,0.00039987,1.7005219206680429,0.2802858335896161,0.30419285083314934,0.3140332859175884,9.618,7.43
202206,2022-06-01,2022-04-01,61,0.0004194392626811361,0.3251133559170498,1.7837438682024491,0.2439,0.00039987,1.7005219206680429,0.37712479524691367,0.3382308400749852,0.32842216723771855,9.618,7.43
202207,2022-07-01,2022-07-01,0,0.0003651,0.30332358958709427,1.530503041262533,0.2464,0.0003651,1.530503041262533,0.3075231699495296,0.32046824998850676,0.32851174855103626,9.687,7.46
202208,2022-08-01,2022-07-01,31,0.00032967097746241944,0.288230960031239,1.3819842060318404,0.2464,0.0003651,1.530503041262533,0.30943812264271187,0.32899999427210946,0.315508907391013,9.687,7.46
202209,2022-09-01,2022-07-01,62,0.00029678450786561813,0.2734770483644574,1.2441237794794102,0.2464,0.0003651,1.530503041262533,0.2734407883610052,0.27906991630984457,0.3147560693905526,9.687,7.46
202210,2022-10-03,2022-10-03,0,0.00035517,0.2991702525318986,1.4380675439403932,0.2507,0.00035517,1.4380675439403932,0.3238229232683375,0.30100013594691233,0.31136214636733855,9.732,7.57
202211,2022-11-01,2022-10-03,29,0.0004429946032405718,0.33411770383597467,1.7936654589661798,0.2507,0.00035517,1.4380675439403932,0.40206513284043194,0.3399114130098888,0.3320398037592438,9.732,7.57
202212,2022-12-01,2022-12-01,0,0.00044989,0.3367080040628675,1.7303461538461506,0.2554,0.00044989,1.7303461538461506,0.35693309643341115,0.3573723729707267,0.3272223219202007,9.853,7.69
