param_set,h_state,n,z,barrier_logret,barrier,p_surv_true,p_surv_bridge,p_surv_varmatch,p_surv_edgeworth,p_surv_mc,mc_se,p_ko_true,p_ko_bridge,p_ko_varmatch,p_ko_edgeworth,abs_err_bridge,rel_err_bridge,rel_err_varmatch,rel_err_edgeworth,mc_z
A_equity_psi095,neutral,5,-2.0,-0.05614520428348841,DOWN,0.02692373552531624,0.02275013194817922,0.022828268383667735,0.02700037022165898,0.0269567,3.621466390608359e-05,0.02692373552531624,0.02275013194817922,0.022828268383667735,0.02700037022165898,-0.00417360357713702,-0.15501576938358363,-0.15211362991578783,0.0028463619496886037,-0.9102521224343976
A_equity_psi095,neutral,5,-1.5,-0.042059300038013135,DOWN,0.07050561847981807,0.06680720126885809,0.0669476920781365,0.07050627781226446,0.0705953,5.727635065997586e-05,0.07050561847981807,0.06680720126885809,0.0669476920781365,0.07050627781226446,-0.003698417210959981,-0.05245563815625045,-0.05046301952091956,9.351488017634632e-06,-1.5657687535704325
A_equity_psi095,neutral,5,-1.0,-0.027973395792537856,DOWN,0.1579087523402677,0.15865525393145707,0.15883015585564048,0.15783511257407182,0.15798175,8.155474336852322e-05,0.1579087523402677,0.15865525393145707,0.15883015585564048,0.15783511257407182,0.0007465015911893857,0.004727423781937028,0.005835037651284285,-0.0004663437909837275,-0.8950755862532669
A_equity_psi095,neutral,5,-0.5,-0.01388749154706258,DOWN,0.30118230419431313,0.3085375387259869,0.30866474465827454,0.301137672749447,0.30123079999999997,0.00010258918453128983,0.30118230419431313,0.3085375387259869,0.30866474465827454,0.301137672749447,0.007355234531673749,0.024421204131994383,0.024843559398277176,-0.00014818747398024693,-0.47271850252441605
A_equity_psi095,neutral,5,0.5,0.014284316943887975,UP,0.6853195123273761,0.6914624612740131,0.6913352553417255,0.6852781818606734,0.6854023,0.00010383303856095369,0.3146804876726239,0.3085375387259869,0.30866474465827454,0.31472181813932665,-0.006142948946637028,-0.019521226092123672,-0.019116987706615664,0.00013134105329637097,-0.797315322476384
A_equity_psi095,neutral,5,1.0,0.028370221189363252,UP,0.8422143992695219,0.8413447460685429,0.8411698441443596,0.8421469034889506,0.8421536,8.152635176848834e-05,0.1577856007304781,0.15865525393145707,0.15883015585564042,0.1578530965110494,0.0008696532009789815,0.0055116132077507,0.006620091569360548,0.0004277689488700296,0.7457621763158643
A_equity_psi095,neutral,5,1.5,0.04245612543483853,UP,0.9377877639622344,0.9331927987311419,0.9330523079218636,0.9378089496753178,0.93775175,5.402472040214919e-05,0.0622122360377656,0.06680720126885809,0.06694769207813644,0.062191050324682196,0.004594965231092485,0.07385950937855916,0.07611775981651281,-0.0003405393284778272,0.6666200577499329
A_equity_psi095,neutral,5,2.0,0.056542029680313806,UP,0.981241896478503,0.9772498680518208,0.9771717316163323,0.9813349081264885,0.9812510499999999,3.0329381623904638e-05,0.018758103521496983,0.02275013194817921,0.022828268383667694,0.018665091873511508,0.003992028426682226,0.21281620618562636,0.21698168247692307,-0.004958478232028225,-0.3018037627800063
A_equity_psi095,neutral,5,2.5,0.07062793392578909,UP,0.9957681657551796,0.9937903346742238,0.9937585998951772,0.9958219622291027,0.99574665,1.4552077558789432e-05,0.004231834244820432,0.006209665325776159,0.00624140010482277,0.004178037770897314,0.0019778310809557276,0.4673696951567753,0.47486875518859306,-0.012712330117599053,1.4785349440786573
A_equity_psi095,neutral,5,3.0,0.08471383817126436,UP,0.9992964885348894,0.9986501019683699,0.9986404638204887,0.999287796206239,0.9992953499999999,5.933605580021202e-06,0.0007035114651106067,0.0013498980316301035,0.0013595361795113448,0.0007122037937610237,0.0006463865665194968,0.9188003303085776,0.9325003883164822,0.012355631829042629,0.19187909848797438
A_equity_psi095,neutral,21,-3.0,-0.1723717474235544,DOWN,0.003718449166514093,0.0013498980316300957,0.0013878746154923796,0.0038059932390043247,0.00374085,1.3650743986355307e-05,0.003718449166514093,0.0013498980316300957,0.0013878746154923796,0.0038059932390043247,-0.002368551134883997,-0.6369728423918257,-0.6267598255771074,0.023543167748155923,-1.6409972605374508
A_equity_psi095,neutral,21,-2.5,-0.14350423396407314,DOWN,0.0112025615248863,0.006209665325776139,0.006334346529074421,0.011420700918979027,0.0112582,2.359179252338901e-05,0.0112025615248863,0.006209665325776139,0.006334346529074421,0.011420700918979027,-0.004992896199110162,-0.445692370268936,-0.43456266542229854,0.019472278157824294,-2.3583826900197757
A_equity_psi095,neutral,21,-2.0,-0.11463672050459182,DOWN,0.030432107165338174,0.02275013194817922,0.023056393384895846,0.030586059882608777,0.0304493,3.842013899351294e-05,0.030432107165338174,0.02275013194817922,0.023056393384895846,0.030586059882608777,-0.007681975217158955,-0.2524299476018091,-0.24236618714471347,0.005058891138696873,-0.4474953790439931
A_equity_psi095,neutral,21,-1.5,-0.08576920704511053,DOWN,0.07376726623243335,0.06680720126885809,0.06735685472348286,0.07369056028208816,0.0737642,5.8447859761719377e-05,0.07376726623243335,0.06680720126885809,0.06735685472348286,0.07369056028208816,-0.006960064963575263,-0.0943516727547526,-0.08690048901570938,-0.0010398372376101744,0.05246098737997931
A_equity_psi095,neutral,21,-1.0,-0.05690169358562925,DOWN,0.15787593992702664,0.15865525393145707,0.1593386403944909,0.1577025343990891,0.1579325,8.154441492010399e-05,0.15787593992702664,0.15865525393145707,0.1593386403944909,0.1577025343990891,0.0007793140044304314,0.004936243006949923,0.009264872583753636,-0.0010983657675621365,-0.6936106296032335
A_equity_psi095,neutral,21,-0.5,-0.02803418012614796,DOWN,0.29547572176739867,0.3085375387259869,0.309034174263271,0.2953947265955565,0.29555075,0.0001020295336126906,0.29547572176739867,0.3085375387259869,0.309034174263271,0.2953947265955565,0.013061816958588213,0.04420605821845018,0.045886858029390604,-0.000274117857662566,-0.7353579884635674
A_equity_psi095,neutral,21,0.5,0.029700846792814622,UP,0.6787376605530873,0.6914624612740131,0.690965825736729,0.67864266291605,0.678743,0.00010441526489300965,0.32126233944691274,0.3085375387259869,0.30903417426327096,0.32135733708395,-0.012724800720925855,-0.039608753216554896,-0.038062865397462606,0.00029570113073567965,-0.05113665054810974
A_equity_psi095,neutral,21,1.0,0.05856836025229591,UP,0.8423660634732844,0.8413447460685429,0.840661359605509,0.8421634244754123,0.8423528499999999,8.148451777380907e-05,0.15763393652671565,0.15865525393145707,0.15933864039449097,0.15783657552458774,0.0010213174047414286,0.006479045231280745,0.010814320224036365,0.001285503631622829,0.16215931130748712
