world,tag,greedy,nohedge,bound,churn,H_exact,H_fwd,recon,H_ramp,ramp_pnl,gap_vs_ramp,gap_pre,gap_avg,gap_post,gap_overshort,gap_undercover,u_post_max,u_post_mean,u_pre_mean,u_mean,dev_mean,basis0,basis_avg,basis_move,P0,dP_pct,vs_nohedge,vs_ramp,mech
hmm,202103,46.78,-73.18,751.02,168.8,119.96,115.28,4.68,75.06,1.88,40.22,4.46,42.56,-6.8,35.76,4.46,1.0,1.0,0.528,0.654,0.203,17.69,8.61,-9.08,1188.8,-5.69,119.96,44.9,OVER-HOLD(post-fixing)
hmm,202104,-14.63,-84.43,765.31,443.8,69.8,61.14,8.66,127.3,42.87,-66.16,-87.14,12.23,8.75,9.86,-76.02,0.25,0.208,0.429,0.374,0.466,-27.56,6.1,33.66,1205.6,-10.25,69.8,-57.5,OVER-HOLD(post-fixing)+under-cover+basis
hmm,202105,-143.7,-198.15,768.28,237.5,54.45,38.09,16.36,229.93,31.78,-191.83,-108.85,-60.88,-22.1,-8.54,-183.29,1.0,1.0,0.429,0.506,0.343,-13.21,8.02,21.22,1226.7,-18.21,54.45,-175.48,OVER-HOLD(post-fixing)+under-cover+basis
hmm,202106,-102.29,-196.08,808.98,312.5,93.79,92.78,1.01,239.67,43.59,-146.89,-140.36,-6.53,0.0,-2.48,-144.41,0.0,0.0,0.398,0.515,0.339,-21.02,8.59,29.61,1197.0,-19.13,93.79,-145.88,under-cover+basis
hmm,202107,-48.45,-35.61,691.04,381.2,-12.84,-14.68,1.84,62.4,26.79,-77.08,-76.77,1.85,-2.16,-0.31,-76.77,0.25,0.219,0.61,0.64,0.194,-21.16,-3.45,17.71,1077.7,-5.43,-12.84,-75.24,OVER-HOLD(post-fixing)+under-cover+basis
hmm,202108,110.63,-5.65,730.94,162.5,116.28,124.45,-8.17,25.54,19.89,98.91,-26.83,116.25,9.49,108.98,-10.07,1.0,1.0,0.315,0.458,0.391,-3.37,11.51,14.89,1053.9,-2.44,116.28,90.74,OVER-HOLD(post-fixing)+basis
hmm,202109,-19.3,-54.74,631.75,356.2,35.44,32.03,3.41,62.71,7.97,-30.68,16.29,-46.97,0.0,-34.81,4.13,0.0,0.0,0.344,0.451,0.396,7.53,2.36,-5.17,998.0,-5.46,35.44,-27.27,over-short
hmm,202110,69.39,34.96,605.85,300.0,34.43,32.95,1.48,-18.37,16.59,51.33,64.51,-13.19,0.0,-14.71,66.03,0.0,0.0,0.606,0.648,0.199,-11.22,-5.84,5.38,971.7,2.38,34.43,52.8,market (little deviation)
hmm,202111,-56.27,37.89,607.29,150.0,-94.16,-85.73,-8.43,-24.13,13.76,-61.6,17.17,-15.07,-63.7,-70.02,8.43,1.0,1.0,0.788,0.822,0.027,-3.44,-1.86,1.58,1019.9,2.86,-94.16,-70.03,OVER-HOLD(post-fixing)+over-short
hmm,202112,212.16,108.13,649.35,293.8,104.03,55.57,48.46,-114.75,-6.62,170.33,65.46,107.25,-2.38,59.8,110.53,1.0,1.0,0.514,0.605,0.243,11.1,-0.84,-11.94,934.4,12.15,104.03,218.78,OVER-HOLD(post-fixing)
hmm,202201,6.51,14.59,657.46,300.0,-8.08,-12.89,4.81,-9.33,5.26,-3.56,10.8,25.64,-40.0,-14.76,11.2,1.0,0.792,0.127,0.286,0.555,6.75,7.92,1.17,953.7,0.59,-8.08,1.25,OVER-HOLD(post-fixing)
hmm,202202,-121.11,-53.3,671.06,200.0,-67.81,-57.86,-9.95,72.81,19.51,-130.68,-63.98,-46.6,-20.1,-64.51,-66.16,1.0,1.0,0.109,0.301,0.547,-6.19,6.45,12.63,1024.7,-7.37,-67.81,-140.62,OVER-HOLD(post-fixing)+over-short+under-cover+basis
hmm,202203,23.41,-99.72,764.6,431.2,123.13,121.54,1.59,105.53,5.81,16.01,-35.22,51.22,0.0,33.6,-17.59,0.0,0.0,0.331,0.423,0.441,10.84,4.83,-6.01,1052.2,-9.65,123.13,17.6,under-cover
hmm,202204,-64.06,-115.68,647.84,456.2,51.62,56.49,-4.87,131.92,16.24,-75.43,-66.09,-9.34,0.0,-1.07,-74.36,0.0,0.0,0.254,0.315,0.517,6.96,8.5,1.55,984.5,-12.19,51.62,-80.3,under-cover
hmm,202205,97.03,-0.87,687.6,150.0,97.9,85.82,12.08,37.78,36.91,48.04,-36.88,84.92,0.0,69.27,-21.23,0.0,0.0,0.1,0.279,0.572,-19.42,10.8,30.21,941.4,-4.34,97.9,60.12,under-cover+basis
hmm,202206,-76.27,-74.35,661.69,425.0,-1.92,6.46,-8.38,121.58,47.23,-115.12,-150.15,35.03,0.0,14.86,-129.98,0.0,0.0,0.125,0.256,0.593,-34.13,4.12,38.24,997.1,-12.31,-1.92,-123.5,under-cover+basis
hmm,202207,-81.54,10.84,619.8,537.5,-92.38,-85.7,-6.68,-33.55,-22.71,-52.15,-29.33,-12.83,-9.99,-9.32,-42.83,1.0,1.0,0.611,0.591,0.254,33.73,-22.46,-56.19,877.3,6.2,-92.38,-58.83,OVER-HOLD(post-fixing)+under-cover+basis
hmm,202208,54.66,99.31,636.88,325.0,-44.65,-78.6,33.95,-103.47,-4.16,24.86,-6.86,4.01,27.71,2.26,22.61,1.0,1.0,0.219,0.317,0.547,-7.85,-13.35,-5.49,901.4,10.94,-44.65,58.82,OVER-HOLD(post-fixing)
