Date,PL1,OPEN_INT,,Date,PL2,OPEN_INT,,Date,PL3,OPEN_INT
46164.58333,1947,,,46122.58333,2079.9,,,,,
46167.58333,1969.5,,,46125.58333,2039.4,,,,,
46168.58333,1956.9,,,46126.58333,2084,,,,,
46169.58333,1922.5,,,46127.58333,2119.5,,,,,
46170.58333,1906.8,,,46128.58333,2148.2,,,,,
46171.58333,1929.4,,,46129.58333,2166.8,,,,,
46174.58333,1954.2,,,46132.58333,2081.6,,,,,
46175.58333,1968.4,,,46133.58333,2090,,,,,
46176.58333,1916.1,,,46134.58333,2093.5,,,,,
46177.58333,1901.6,,,46135.58333,2040,,,,,
46178.58333,1872.9,,,46136.58333,2000.7,,,,,
46181.58333,1771.9,,,46139.58333,1996.1,,,,,
46182.58333,1779.7,,,46140.58333,1963,,,,,
46183.58333,1677.7,,,46142.58333,1982.2,,,,,
46184.58333,1669.1,,,46146.58333,1993.5,,,,,
46185.58333,1701.9,,,46149.58333,2125.6,,,,,
46188.58333,1803.8,,,46150.58333,2073.7,,,,,
46189.58333,1817.9,,,46153.58333,2105.9,,,,,
46190.58333,1791,,,46154.58333,2148.4,,,,,
46191.58333,1714,,,46155.58333,2163.2,,,,,
46192.58333,1676.9,,,46156.58333,2137.5,,,,,
46195.58333,1682.2,,,46157.58333,2001.1,,,,,
46196.58333,1637.6,,,46163.58333,1951.7,,,,,
46197.58333,1580.1,,,46164.58333,1966.3,,,,,
46198.58333,1591.6,,,46170.58333,1928.9,,,,,
46199.58333,1624.2,,,46175.58333,1986.8,,,,,
46202.58333,1587.1,,,46176.58333,1935.9,,,,,
,,,,46178.58333,1893.7,,,,,
,,,,46181.58333,1790.2,,,,,
,,,,46182.58333,1799.3,,,,,
,,,,46183.58333,1696.3,,,,,
,,,,46184.58333,1686.1,,,,,
,,,,46188.58333,1820,,,,,
,,,,46189.58333,1835.6,,,,,
,,,,46190.58333,1807.6,,,,,
,,,,46191.58333,1732.7,,,,,
,,,,46192.58333,1693.4,,,,,
,,,,46195.58333,1699.5,,,,,
,,,,46196.58333,1655.5,,,,,
,,,,46197.58333,1596,,,,,
,,,,46198.58333,1607.2,,,,,
,,,,46199.58333,1639.1,,,,,
,,,,46202.58333,1603.1,,,,,
,,,,46203.58333,1579.8,,,,,
